Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
SR-0031547,Request creation of generic team login,Software,Iron Man,Iron Man,Avengers,Service C,Closed,High,High,High,Low,2025-12-16T05:37:13.000000,2025-12-16T07:37:13.000000,2025-12-16T16:37:13.000000,4,Tuesday,2.0,9.0,11.0,1,2025-51
SR-0031548,Request access to source code repository,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Critical,High,Medium,2025-12-16T08:53:32.000000,2025-12-16T12:53:32.000000,2025-12-16T14:53:32.000000,2,Tuesday,4.0,2.0,6.0,0,2025-51
SR-0031549,Request change of print settings,Facilities,Thor,Thor,Avengers,Service C,In Progress,Medium,Medium,Low,Medium,2025-12-16T22:04:53.000000,2025-12-17T00:04:53.000000,,5,Tuesday,2.0,,,0,2025-51
SR-0031550,Request reactivation of existing user account,Facilities,Hulk,Hulk,Avengers,Service B,Closed,High,Low,Low,Low,2025-12-16T10:33:38.000000,2025-12-16T17:33:38.000000,2025-12-19T06:33:38.000000,2,Tuesday,7.0,61.0,68.0,1,2025-51
SR-0031551,Request productivity software licence,Data,Iron Man,Iron Man,Avengers,Service B,On Hold,High,Medium,Medium,Medium,2025-12-16T22:41:53.000000,,,5,Tuesday,,,,0,2025-51
SR-0031552,Request access to collaboration tool,Access,Loki,Loki,Avengers,Service C,New,Low,Critical,High,High,2025-12-16T10:53:52.000000,,,5,Tuesday,,,,0,2025-51
SR-0031553,Request creation of a group communication list,Facilities,Captain America,Captain America,Avengers,Service B,New,Low,Critical,High,High,2025-12-16T14:46:25.000000,,,4,Tuesday,,,,0,2025-51
SR-0031554,Request access to remote working environment,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-12-16T04:46:06.000000,2025-12-16T07:46:06.000000,2025-12-16T08:46:06.000000,3,Tuesday,3.0,1.0,4.0,0,2025-51
SR-0031555,Request change of default language settings,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,New,Low,Medium,Medium,Medium,2025-12-16T06:06:16.000000,,,0,Tuesday,,,,0,2025-51
SR-0031556,Request new audio equipment for calls,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,New,Low,Critical,High,High,2025-12-16T17:51:10.000000,,,1,Tuesday,,,,0,2025-51
SR-0031557,Request configuration of backup for data area,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,On Hold,Low,Medium,Medium,Medium,2025-12-16T09:51:44.000000,,,4,Tuesday,,,,0,2025-51
SR-0031558,Request password assistance,Hardware,Loki,Loki,Avengers,Service C,On Hold,High,Low,Low,Low,2025-12-16T13:24:49.000000,,,0,Tuesday,,,,0,2025-51
SR-0031559,Request access to secure printing features,Software,Thor,Thor,Avengers,Service A,Closed,Medium,High,High,Medium,2025-12-16T08:25:13.000000,2025-12-16T11:25:13.000000,2025-12-17T07:25:13.000000,3,Tuesday,3.0,20.0,23.0,1,2025-51
SR-0031560,Request productivity software licence,Access,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,Medium,High,High,Medium,2025-12-16T16:58:28.000000,2025-12-16T20:58:28.000000,,1,Tuesday,4.0,,,0,2025-51
SR-0031561,Request upgrade to extended user profile,Facilities,Batman,Batman,Matrix,Service C,In Progress,Low,Low,Low,Low,2025-12-16T22:58:05.000000,2025-12-17T04:58:05.000000,,0,Tuesday,6.0,,,0,2025-51
SR-0031562,Request creation of shared mailbox,Failure,Thor,Thor,Avengers,Service A,Closed,Medium,High,Medium,High,2025-12-16T16:34:02.000000,2025-12-16T20:34:02.000000,2025-12-17T11:34:02.000000,5,Tuesday,4.0,15.0,19.0,1,2025-51
SR-0031563,Request change of time zone settings for account,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,Medium,2025-12-16T06:53:47.000000,2025-12-16T13:53:47.000000,2025-12-16T16:53:47.000000,4,Tuesday,7.0,3.0,10.0,0,2025-51
SR-0031564,Request password assistance,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-12-16T12:26:24.000000,2025-12-16T18:26:24.000000,2025-12-16T19:26:24.000000,2,Tuesday,6.0,1.0,7.0,0,2025-51
SR-0031565,Request account details update,Access,Thor,Thor,Avengers,Service A,Closed,Low,Critical,High,High,2025-12-16T13:55:46.000000,2025-12-16T15:55:46.000000,2025-12-16T22:55:46.000000,3,Tuesday,2.0,7.0,9.0,1,2025-51
SR-0031566,Request access to business application,Data,Loki,Loki,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-12-16T04:43:48.000000,2025-12-16T11:43:48.000000,2025-12-17T08:43:48.000000,4,Tuesday,7.0,21.0,28.0,0,2025-51
SR-0031567,Request access to business application,Hardware,Batman,Batman,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-12-16T12:23:17.000000,2025-12-16T16:23:17.000000,2025-12-17T20:23:17.000000,3,Tuesday,4.0,28.0,32.0,1,2025-51
SR-0031568,Request new project storage area,Facilities,Batman,Batman,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-12-16T00:43:32.000000,2025-12-16T03:43:32.000000,2025-12-16T19:43:32.000000,2,Tuesday,3.0,16.0,19.0,0,2025-51
SR-0031569,Request change of print settings,Complaint,Loki,Loki,Avengers,Service B,Closed,Medium,High,High,High,2025-12-16T08:25:36.000000,2025-12-16T11:25:36.000000,2025-12-17T08:25:36.000000,2,Tuesday,3.0,21.0,24.0,1,2025-51
SR-0031570,Request configuration of meeting room technology,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Critical,High,Medium,2025-12-16T08:04:27.000000,2025-12-16T11:04:27.000000,2025-12-16T20:04:27.000000,4,Tuesday,3.0,9.0,12.0,1,2025-51
SR-0031571,Request addition to email group,Hardware,Neo,Neo,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-12-16T22:49:19.000000,2025-12-17T00:49:19.000000,2025-12-17T16:49:19.000000,0,Tuesday,2.0,16.0,18.0,0,2025-51
SR-0031572,Request activation of network connection at workspace,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Low,Low,Low,2025-12-16T12:53:30.000000,2025-12-16T15:53:30.000000,2025-12-18T01:53:30.000000,3,Tuesday,3.0,34.0,37.0,0,2025-51
SR-0031573,Request VPN access from additional device,Data,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-12-16T20:48:16.000000,2025-12-16T23:48:16.000000,2025-12-18T08:48:16.000000,1,Tuesday,3.0,33.0,36.0,1,2025-51
SR-0031574,Request new conference call access details,Facilities,Iron Man,Iron Man,Avengers,Service A,New,Medium,High,High,Medium,2025-12-16T23:47:01.000000,,,2,Tuesday,,,,0,2025-51
SR-0031575,Request creation of generic team login,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,High,High,2025-12-16T16:19:26.000000,2025-12-16T20:19:26.000000,2025-12-17T10:19:26.000000,1,Tuesday,4.0,14.0,18.0,1,2025-51
SR-0031576,Request setup of email on user device,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Critical,High,Medium,2025-12-16T23:04:28.000000,2025-12-17T06:04:28.000000,2025-12-17T14:04:28.000000,1,Tuesday,7.0,8.0,15.0,1,2025-51
SR-0031577,Request access to development resources,Failure,Captain America,Captain America,Avengers,Service A,In Progress,High,Medium,Low,Medium,2025-12-16T19:20:14.000000,2025-12-16T23:20:14.000000,,2,Tuesday,4.0,,,0,2025-51
SR-0031578,Request update of email signature settings,Software,Loki,Loki,Avengers,Service C,New,High,Critical,High,High,2025-12-16T17:00:35.000000,,,1,Tuesday,,,,0,2025-51
SR-0031579,Request reactivation of existing user account,Facilities,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-12-16T19:43:47.000000,2025-12-16T23:43:47.000000,2025-12-17T01:43:47.000000,0,Tuesday,4.0,2.0,6.0,0,2025-51
SR-0031580,Request update of email signature settings,Facilities,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-12-16T12:14:00.000000,2025-12-16T15:14:00.000000,2025-12-17T09:14:00.000000,2,Tuesday,3.0,18.0,21.0,0,2025-51
SR-0031581,Request new mobile device setup,Complaint,Loki,Loki,Avengers,Service B,New,High,Medium,Low,Medium,2025-12-16T00:34:07.000000,,,5,Tuesday,,,,0,2025-51
SR-0031582,Request productivity software licence,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-12-16T05:34:58.000000,2025-12-16T12:34:58.000000,2025-12-16T18:34:58.000000,3,Tuesday,7.0,6.0,13.0,0,2025-51
SR-0031583,Request setup of test environment for application,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,New,High,Critical,High,Medium,2025-12-16T19:20:41.000000,,,5,Tuesday,,,,0,2025-51
SR-0031584,Request removal from email group,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,New,Medium,Medium,Low,Low,2025-12-16T09:19:16.000000,,,3,Tuesday,,,,0,2025-51
SR-0031585,Request change of default language settings,Hardware,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Low,Low,Low,2025-12-16T21:48:50.000000,2025-12-16T23:48:50.000000,2025-12-18T19:48:50.000000,4,Tuesday,2.0,44.0,46.0,0,2025-51
SR-0031586,Request configuration of meeting room technology,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-12-16T19:18:51.000000,2025-12-16T23:18:51.000000,2025-12-17T20:18:51.000000,3,Tuesday,4.0,21.0,25.0,0,2025-51
SR-0031587,Request access to marketing documents storage,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-12-16T01:31:10.000000,2025-12-16T07:31:10.000000,2025-12-16T20:31:10.000000,5,Tuesday,6.0,13.0,19.0,0,2025-51
SR-0031588,Request access to source code repository,Complaint,Thor,Thor,Avengers,Service C,New,Low,High,High,Low,2025-12-16T12:35:54.000000,,,0,Tuesday,,,,0,2025-51
SR-0031589,Request addition to application access group,Access,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-12-16T00:49:15.000000,2025-12-16T06:49:15.000000,2025-12-16T23:49:15.000000,5,Tuesday,6.0,17.0,23.0,0,2025-51
SR-0031590,Request docking station setup,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,High,Medium,High,2025-12-16T02:19:02.000000,2025-12-16T10:19:02.000000,2025-12-16T21:19:02.000000,5,Tuesday,8.0,11.0,19.0,1,2025-51
SR-0031591,Request external user account creation,Access,Neo,Neo,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-12-16T14:05:37.000000,2025-12-16T19:05:37.000000,2025-12-18T03:05:37.000000,3,Tuesday,5.0,32.0,37.0,1,2025-51
SR-0031592,Request remote access to internal application,Complaint,Loki,Loki,Avengers,Service C,Closed,High,High,Medium,Low,2025-12-16T19:46:36.000000,2025-12-17T03:46:36.000000,2025-12-17T16:46:36.000000,5,Tuesday,8.0,13.0,21.0,1,2025-51
SR-0031593,Request change of time zone settings for account,Access,Captain America,Captain America,Avengers,Service A,Closed,Medium,High,High,Low,2025-12-16T20:08:04.000000,2025-12-17T03:08:04.000000,2025-12-17T10:08:04.000000,3,Tuesday,7.0,7.0,14.0,0,2025-51
SR-0031594,Request upgrade to latest approved software version,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-12-16T19:31:33.000000,2025-12-16T23:31:33.000000,2025-12-18T06:31:33.000000,5,Tuesday,4.0,31.0,35.0,1,2025-51
SR-0031595,Request device hardware upgrade,Data,Loki,Loki,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-12-16T00:08:12.000000,2025-12-16T08:08:12.000000,2025-12-16T21:08:12.000000,1,Tuesday,8.0,13.0,21.0,1,2025-51
SR-0031596,Request upgrade to extended user profile,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,Medium,Medium,2025-12-16T22:50:26.000000,2025-12-17T04:50:26.000000,2025-12-17T13:50:26.000000,4,Tuesday,6.0,9.0,15.0,1,2025-51
SR-0031597,Request change of access rights on shared storage,Data,Thor,Thor,Avengers,Service C,New,Medium,Medium,Low,Low,2025-12-16T05:57:14.000000,,,4,Tuesday,,,,0,2025-51
SR-0031598,Request change in routing for service access,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-12-16T15:29:31.000000,2025-12-16T21:29:31.000000,2025-12-18T07:29:31.000000,3,Tuesday,6.0,34.0,40.0,1,2025-51
SR-0031599,Request access to secure file transfer service,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-16T04:04:22.000000,2025-12-16T09:04:22.000000,2025-12-17T17:04:22.000000,3,Tuesday,5.0,32.0,37.0,1,2025-51
SR-0031600,Request docking station setup,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-12-16T23:03:56.000000,2025-12-17T01:03:56.000000,2025-12-17T11:03:56.000000,3,Tuesday,2.0,10.0,12.0,1,2025-51
SR-0031601,Request access to business application,Failure,Captain America,Captain America,Avengers,Service B,New,Medium,High,High,High,2025-12-16T20:44:50.000000,,,4,Tuesday,,,,0,2025-51
SR-0031602,Request access to archived information,Failure,Thor,Thor,Avengers,Service B,Closed,High,Medium,Low,Low,2025-12-16T08:11:00.000000,2025-12-16T15:11:00.000000,2025-12-17T23:11:00.000000,3,Tuesday,7.0,32.0,39.0,1,2025-51
SR-0031603,Request temporary elevated permissions on device,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-12-16T02:54:15.000000,2025-12-16T08:54:15.000000,2025-12-17T08:54:15.000000,3,Tuesday,6.0,24.0,30.0,0,2025-51
SR-0031604,Request activation of network connection at workspace,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-12-16T09:18:39.000000,2025-12-16T11:18:39.000000,2025-12-16T20:18:39.000000,2,Tuesday,2.0,9.0,11.0,1,2025-51
SR-0031605,Request change of print settings,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-16T21:29:20.000000,2025-12-17T00:29:20.000000,2025-12-18T12:29:20.000000,5,Tuesday,3.0,36.0,39.0,1,2025-51
SR-0031606,Request configuration of project-specific tools,Hardware,Batman,Batman,Matrix,Service C,Closed,Low,Critical,High,High,2025-12-16T15:44:19.000000,2025-12-16T20:44:19.000000,2025-12-17T03:44:19.000000,1,Tuesday,5.0,7.0,12.0,1,2025-51
SR-0031607,Request change of default language settings,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service B,New,Low,Medium,Medium,Medium,2025-12-16T02:43:28.000000,,,3,Tuesday,,,,0,2025-51
SR-0031608,Request change of print settings,Data,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,High,High,2025-12-16T22:43:18.000000,2025-12-17T04:43:18.000000,2025-12-17T14:43:18.000000,1,Tuesday,6.0,10.0,16.0,1,2025-51
SR-0031609,Request change of print settings,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-12-16T02:06:09.000000,2025-12-16T04:06:09.000000,2025-12-16T08:06:09.000000,4,Tuesday,2.0,4.0,6.0,0,2025-51
SR-0031610,Request replacement of power adapter,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-12-16T08:48:38.000000,2025-12-16T13:48:38.000000,2025-12-18T00:48:38.000000,5,Tuesday,5.0,35.0,40.0,1,2025-51
SR-0031611,Request change of access rights on shared storage,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-12-16T18:38:12.000000,2025-12-17T01:38:12.000000,2025-12-17T13:38:12.000000,2,Tuesday,7.0,12.0,19.0,0,2025-51
SR-0031612,Request secure deletion of data from device,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-16T13:03:26.000000,2025-12-16T15:03:26.000000,2025-12-17T03:03:26.000000,0,Tuesday,2.0,12.0,14.0,0,2025-51
SR-0031613,Request upgrade to extended user profile,Facilities,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-12-16T15:45:23.000000,2025-12-16T22:45:23.000000,2025-12-17T14:45:23.000000,2,Tuesday,7.0,16.0,23.0,0,2025-51
SR-0031614,Request configuration update for communication tools,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-12-16T11:26:59.000000,2025-12-16T18:26:59.000000,2025-12-18T14:26:59.000000,1,Tuesday,7.0,44.0,51.0,0,2025-51
SR-0031615,Request creation of a group communication list,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Critical,High,Medium,2025-12-16T22:42:47.000000,2025-12-17T03:42:47.000000,2025-12-17T12:42:47.000000,5,Tuesday,5.0,9.0,14.0,1,2025-51
SR-0031616,Request password assistance,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Critical,High,High,2025-12-16T14:34:04.000000,2025-12-16T16:34:04.000000,2025-12-16T21:34:04.000000,0,Tuesday,2.0,5.0,7.0,1,2025-51
SR-0031617,Request setup of test environment for application,Data,Captain America,Captain America,Avengers,Service A,In Progress,Low,Low,Low,Low,2025-12-16T21:48:38.000000,2025-12-17T00:48:38.000000,,2,Tuesday,3.0,,,0,2025-51
SR-0031618,Request activation of additional login security,Facilities,Neo,Neo,Matrix,Service C,New,High,Medium,Medium,Medium,2025-12-16T22:22:38.000000,,,0,Tuesday,,,,0,2025-51
SR-0031619,Request access to document management tools,Network,Captain America,Captain America,Avengers,Service A,Closed,Low,Low,Low,Low,2025-12-16T03:36:53.000000,2025-12-16T08:36:53.000000,2025-12-18T01:36:53.000000,3,Tuesday,5.0,41.0,46.0,0,2025-51
SR-0031620,Request access to development resources,Facilities,Iron Man,Iron Man,Avengers,Service A,In Progress,Medium,Low,Low,Low,2025-12-16T19:11:00.000000,2025-12-16T22:11:00.000000,,5,Tuesday,3.0,,,0,2025-51
SR-0031621,Request external user account creation,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,New,High,High,High,High,2025-12-16T19:31:29.000000,,,3,Tuesday,,,,0,2025-51
SR-0031622,Request update of email signature settings,Network,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-12-16T10:15:45.000000,2025-12-16T14:15:45.000000,2025-12-18T00:15:45.000000,2,Tuesday,4.0,34.0,38.0,1,2025-51
SR-0031623,Request creation of a group communication list,Network,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,Medium,2025-12-16T02:45:25.000000,2025-12-16T09:45:25.000000,2025-12-16T16:45:25.000000,3,Tuesday,7.0,7.0,14.0,0,2025-51
SR-0031624,Request website allowance for business use,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-12-16T13:46:42.000000,2025-12-16T21:46:42.000000,2025-12-17T16:46:42.000000,2,Tuesday,8.0,19.0,27.0,0,2025-51
SR-0031625,Request access to service management tool,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Critical,Medium,Medium,2025-12-16T15:08:43.000000,2025-12-16T21:08:43.000000,2025-12-17T07:08:43.000000,0,Tuesday,6.0,10.0,16.0,1,2025-51
SR-0031626,Request docking station setup,Data,Batman,Batman,Matrix,Service C,On Hold,High,Critical,High,Medium,2025-12-16T12:05:34.000000,,,1,Tuesday,,,,0,2025-51
SR-0031627,Request update of security configuration,Failure,Spiderman,Spiderman,Avengers II,Service B,In Progress,Medium,High,High,Low,2025-12-16T04:18:32.000000,2025-12-16T07:18:32.000000,,5,Tuesday,3.0,,,0,2025-51
SR-0031628,Request new workstation setup at workplace,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-12-16T11:09:25.000000,2025-12-16T17:09:25.000000,2025-12-17T10:09:25.000000,2,Tuesday,6.0,17.0,23.0,1,2025-51
SR-0031629,Request new workstation device,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,High,High,2025-12-16T06:25:17.000000,2025-12-16T11:25:17.000000,2025-12-17T05:25:17.000000,0,Tuesday,5.0,18.0,23.0,1,2025-51
SR-0031630,Request adjustment of access permissions,Facilities,Loki,Loki,Avengers,Service A,New,High,High,High,High,2025-12-16T21:53:31.000000,,,4,Tuesday,,,,0,2025-51
SR-0031631,Request addition to email group,Data,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,Low,2025-12-16T10:20:47.000000,2025-12-16T18:20:47.000000,2025-12-17T05:20:47.000000,1,Tuesday,8.0,11.0,19.0,1,2025-51
SR-0031632,Request update of email signature settings,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,Medium,High,2025-12-16T22:17:13.000000,2025-12-17T03:17:13.000000,2025-12-17T09:17:13.000000,1,Tuesday,5.0,6.0,11.0,1,2025-51
SR-0031633,Request password assistance,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,High,Medium,2025-12-16T08:19:16.000000,2025-12-16T15:19:16.000000,2025-12-16T21:19:16.000000,3,Tuesday,7.0,6.0,13.0,1,2025-51
SR-0031634,Request productivity software licence,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-12-16T13:37:10.000000,2025-12-16T20:37:10.000000,2025-12-17T08:37:10.000000,5,Tuesday,7.0,12.0,19.0,0,2025-51
SR-0031635,Request update to monitoring or alerting settings,Complaint,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-12-16T14:05:57.000000,2025-12-16T18:05:57.000000,2025-12-17T06:05:57.000000,0,Tuesday,4.0,12.0,16.0,1,2025-51
SR-0031636,Request access to a shared resource,Facilities,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-12-16T02:48:07.000000,2025-12-16T07:48:07.000000,2025-12-16T12:48:07.000000,1,Tuesday,5.0,5.0,10.0,1,2025-51
SR-0031637,Request activation of network connection at workspace,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-12-16T07:25:42.000000,2025-12-16T11:25:42.000000,2025-12-17T19:25:42.000000,0,Tuesday,4.0,32.0,36.0,0,2025-51
SR-0031638,Request access to collaboration tool,Network,Captain America,Captain America,Avengers,Service C,Closed,Medium,High,High,Medium,2025-12-16T12:28:04.000000,2025-12-16T18:28:04.000000,2025-12-17T17:28:04.000000,3,Tuesday,6.0,23.0,29.0,1,2025-51
SR-0031639,Request access to collaboration tool,Facilities,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-12-16T19:08:25.000000,2025-12-17T01:08:25.000000,2025-12-18T12:08:25.000000,5,Tuesday,6.0,35.0,41.0,1,2025-51
SR-0031640,Request access to secure file transfer service,Hardware,Loki,Loki,Avengers,Service A,Closed,Medium,High,High,Medium,2025-12-16T14:24:58.000000,2025-12-16T17:24:58.000000,2025-12-17T15:24:58.000000,3,Tuesday,3.0,22.0,25.0,1,2025-51
SR-0031641,Request access to time-management tools,Facilities,Thor,Thor,Avengers,Service B,In Progress,Low,Low,Low,Low,2025-12-16T04:45:01.000000,2025-12-16T06:45:01.000000,,1,Tuesday,2.0,,,0,2025-51
SR-0031642,Request access to a shared resource,Software,Thor,Thor,Avengers,Service B,Closed,Low,High,Medium,Medium,2025-12-16T04:48:33.000000,2025-12-16T08:48:33.000000,2025-12-17T07:48:33.000000,4,Tuesday,4.0,23.0,27.0,1,2025-51
SR-0031643,Request creation of a technical service account,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-12-17T09:29:38.000000,2025-12-17T12:29:38.000000,2025-12-17T21:29:38.000000,4,Wednesday,3.0,9.0,12.0,1,2025-51
SR-0031644,Request replacement of input device,Access,Iron Man,Iron Man,Avengers,Service B,In Progress,Medium,High,Medium,High,2025-12-17T16:13:18.000000,2025-12-17T18:13:18.000000,,4,Wednesday,2.0,,,0,2025-51
SR-0031645,Request printing access on office device,Failure,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Low,Low,2025-12-17T17:23:53.000000,2025-12-17T19:23:53.000000,2025-12-18T11:23:53.000000,0,Wednesday,2.0,16.0,18.0,0,2025-51
SR-0031646,Request account details update,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-12-17T14:45:18.000000,2025-12-17T20:45:18.000000,2025-12-19T03:45:18.000000,5,Wednesday,6.0,31.0,37.0,1,2025-51
SR-0031647,Request removal from email group,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,High,Medium,2025-12-17T20:38:30.000000,2025-12-18T04:38:30.000000,2025-12-18T15:38:30.000000,3,Wednesday,8.0,11.0,19.0,1,2025-51
SR-0031648,Request update to monitoring or alerting settings,Software,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-12-17T04:37:08.000000,2025-12-17T10:37:08.000000,2025-12-18T09:37:08.000000,0,Wednesday,6.0,23.0,29.0,0,2025-51
SR-0031649,Request remote access to internal application,Data,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-12-17T04:41:46.000000,2025-12-17T10:41:46.000000,2025-12-18T01:41:46.000000,0,Wednesday,6.0,15.0,21.0,0,2025-51
SR-0031650,Request creation of a group communication list,Software,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Medium,Low,2025-12-17T06:13:41.000000,2025-12-17T10:13:41.000000,2025-12-18T17:13:41.000000,2,Wednesday,4.0,31.0,35.0,1,2025-51
SR-0031651,Request access to a shared resource,Complaint,Spiderman,Spiderman,Avengers II,Service B,New,Medium,Medium,Medium,Medium,2025-12-17T00:51:44.000000,,,4,Wednesday,,,,0,2025-51
SR-0031652,Request creation of shared mailbox,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-12-17T19:02:46.000000,2025-12-18T00:02:46.000000,2025-12-19T03:02:46.000000,0,Wednesday,5.0,27.0,32.0,1,2025-51
SR-0031653,Request unblocking of specific email attachment type,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,High,High,High,2025-12-17T16:40:25.000000,2025-12-18T00:40:25.000000,2025-12-18T21:40:25.000000,2,Wednesday,8.0,21.0,29.0,1,2025-51
SR-0031654,Request access to archived information,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,High,High,High,2025-12-17T18:44:58.000000,2025-12-17T23:44:58.000000,2025-12-18T18:44:58.000000,5,Wednesday,5.0,19.0,24.0,1,2025-51
SR-0031655,Request creation of a user account,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-12-17T12:34:06.000000,2025-12-17T16:34:06.000000,2025-12-19T04:34:06.000000,0,Wednesday,4.0,36.0,40.0,1,2025-51
SR-0031656,Request access to internal help and knowledge portal,Software,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,Medium,2025-12-17T19:13:15.000000,2025-12-18T02:13:15.000000,2025-12-18T09:13:15.000000,2,Wednesday,7.0,7.0,14.0,1,2025-51
SR-0031657,Request configuration of high-availability service,Complaint,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,Medium,2025-12-17T08:03:29.000000,2025-12-17T12:03:29.000000,2025-12-17T19:03:29.000000,3,Wednesday,4.0,7.0,11.0,1,2025-51
