Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-34604,Suspicious API calls detected: Abnormal volume of requests identified.,Network,Peter,Jan,Avengers,Service C,New,Medium,High,Low,Medium,2025-11-28T01:18:03.000000,,,1,Friday,0,,,,0,2025-48
CR-34605,Backup server unreachable: Error code 502.,Network,Peter,Iron Man,Avengers,Service B,Closed,High,High,Low,High,2025-11-28T08:10:39.000000,2025-11-28T13:58:26.000000,2025-11-28T22:45:16.000000,1,Friday,0,5.796388888888889,8.780555555555555,14.576944444444445,1,2025-48
CR-34606,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Data,Jan,Jan,Matrix,Service B,In Progress,High,Medium,Medium,Low,2025-11-28T12:29:12.000000,2025-11-28T15:43:26.000000,,0,Friday,1,3.237222222222222,,,0,2025-48
CR-34607,Firewall breach: Unauthorized access through open port.,Failure,Peter,Michal,Avengers II,Service B,Closed,Medium,Medium,Low,Medium,2025-11-28T20:26:56.000000,2025-11-29T01:10:48.000000,2025-11-30T12:19:05.000000,0,Friday,1,4.731111111111111,35.13805555555555,39.869166666666665,1,2025-48
CR-34608,Cloud misconfiguration alert: Public exposure of sensitive data.,Network,Peter,Peter,Avengers II,Service B,Closed,Medium,High,Medium,High,2025-11-28T14:19:22.000000,2025-11-28T20:35:52.000000,2025-11-30T00:37:11.000000,1,Friday,0,6.275,28.021944444444443,34.29694444444444,1,2025-48
CR-34609,Social engineering attempt flagged: Fake support request identified.,Data,Martin,Peter,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-11-28T20:06:30.000000,2025-11-29T04:36:44.000000,2025-11-29T20:11:36.000000,1,Friday,0,8.50388888888889,15.581111111111111,24.085,0,2025-48
CR-34610,Web server certificate expired: Issue flagged for priority teams.,Failure,Martin,Peter,Avengers,Service B,New,Medium,Medium,Medium,Medium,2025-11-28T23:41:42.000000,,,0,Friday,1,,,,0,2025-48
CR-34611,Memory exhaustion detected: Application terminated unexpectedly.,Complaint,Thor,Michal,Avengers II,Service C,Closed,Low,Low,Medium,Low,2025-11-28T06:15:31.000000,2025-11-28T12:58:49.000000,2025-11-30T01:57:38.000000,0,Friday,1,6.721666666666667,36.98027777777778,43.70194444444444,0,2025-48
CR-34612,Unauthorized device connected: MAC address not whitelisted.,Data,Iron Man,Michal,Avengers II,Service A,Closed,High,Medium,Low,Low,2025-11-28T19:01:27.000000,2025-11-28T21:06:25.000000,2025-11-29T23:02:47.000000,1,Friday,0,2.082777777777778,25.939444444444444,28.022222222222222,1,2025-48
CR-34613,Web server certificate expired: Issue flagged for priority teams.,Facilities,Captain America,Jan,Avengers II,Service C,Closed,Medium,Low,High,High,2025-11-28T19:42:06.000000,2025-11-29T03:36:36.000000,2025-11-30T17:28:44.000000,0,Friday,1,7.908333333333333,37.86888888888889,45.77722222222222,0,2025-48
CR-34614,Data breach notification sent to affected users.,Data,Michal,Jan,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-11-28T08:35:18.000000,2025-11-28T14:40:24.000000,2025-11-30T03:32:08.000000,1,Friday,0,6.085,36.86222222222222,42.94722222222222,1,2025-48
CR-34615,Critical security incident logged: Immediate remediation required.,Software,Peter,Captain America,Matrix,Service A,Closed,High,Medium,High,Low,2025-11-28T04:27:39.000000,2025-11-28T12:29:25.000000,2025-11-29T09:31:32.000000,0,Friday,1,8.029444444444444,21.03527777777778,29.064722222222223,0,2025-48
CR-34616,Cloud storage accessed by untrusted device.,Network,Michal,Thor,Avengers II,Service C,In Progress,High,High,High,Low,2025-11-28T02:37:32.000000,2025-11-28T06:23:09.000000,,0,Friday,1,3.7602777777777776,,,0,2025-48
CR-34617,Web application timeout: Performance degradation observed.,Complaint,Iron Man,Thor,Avengers II,Service C,Closed,Low,Low,Medium,High,2025-11-28T09:53:27.000000,2025-11-28T17:12:55.000000,2025-11-29T12:38:20.000000,0,Friday,1,7.3244444444444445,19.42361111111111,26.748055555555556,0,2025-48
CR-34618,Antivirus disabled on workstation: Protection compromised.,Hardware,Martin,Peter,Matrix,Service B,Closed,Low,Medium,Medium,High,2025-11-28T05:32:21.000000,2025-11-28T08:13:23.000000,2025-11-30T03:59:20.000000,1,Friday,0,2.6838888888888888,43.76583333333333,46.44972222222222,1,2025-48
CR-34619,User login failed: Account locked due to excessive login attempts.,Software,Captain America,Martin,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-11-28T12:19:18.000000,2025-11-28T17:58:22.000000,2025-11-30T02:11:28.000000,1,Friday,0,5.651111111111111,32.218333333333334,37.86944444444445,0,2025-48
CR-34620,Unauthorized access attempt detected: IP flagged as suspicious.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Medium,High,Low,2025-11-28T19:03:02.000000,2025-11-29T01:06:02.000000,2025-11-30T01:18:06.000000,0,Friday,1,6.05,24.20111111111111,30.25111111111111,1,2025-48
CR-34621,Suspicious behavior: Multiple failed login attempts detected.,Network,Jan,Captain America,Avengers II,Service A,Closed,High,High,Medium,Medium,2025-11-28T20:55:18.000000,2025-11-29T02:34:28.000000,2025-11-30T16:25:41.000000,1,Friday,0,5.652777777777778,37.853611111111114,43.506388888888885,1,2025-48
CR-34622,DDoS attack mitigation active: Rate-limiting initiated.,Hardware,Thor,Jan,Matrix,Service C,Closed,High,High,High,Low,2025-11-28T11:27:50.000000,2025-11-28T18:55:37.000000,2025-11-29T01:37:38.000000,0,Friday,1,7.463055555555555,6.700277777777778,14.163333333333334,0,2025-48
CR-34623,Suspicious activity detected on account: User A.,Complaint,Jan,Captain America,Avengers,Service B,Closed,Low,High,Low,High,2025-11-28T17:20:32.000000,2025-11-29T01:20:50.000000,2025-11-30T14:45:05.000000,1,Friday,0,8.005,37.40416666666667,45.409166666666664,1,2025-48
CR-34624,Performance report: Sluggish response times on application.,Facilities,Peter,Captain America,Avengers II,Service B,Closed,Low,High,Low,Low,2025-11-28T11:21:31.000000,2025-11-28T20:10:42.000000,2025-11-29T15:49:12.000000,1,Friday,0,8.819722222222222,19.641666666666666,28.461388888888887,1,2025-48
CR-34625,Email flagged as phishing: Sensitive keywords detected.,Hardware,Jan,Jan,Avengers II,Service C,Closed,High,High,High,High,2025-11-28T06:41:02.000000,2025-11-28T14:31:53.000000,2025-11-30T10:00:11.000000,0,Friday,1,7.8475,43.471666666666664,51.31916666666667,1,2025-48
CR-34626,Backup server unreachable: Error code 502.,Facilities,Iron Man,Peter,Avengers II,Service A,Closed,Medium,Low,High,Medium,2025-11-28T09:00:22.000000,2025-11-28T12:42:30.000000,2025-11-29T00:39:06.000000,0,Friday,1,3.7022222222222223,11.943333333333333,15.645555555555555,0,2025-48
CR-34627,User login failed: Account locked due to excessive login attempts.,Data,Captain America,Peter,Avengers II,Service A,Closed,Low,Low,Medium,High,2025-11-28T16:53:23.000000,2025-11-28T22:13:28.000000,2025-11-29T05:24:20.000000,0,Friday,1,5.334722222222222,7.181111111111111,12.515833333333333,0,2025-48
CR-34628,Web application timeout: Performance degradation observed.,Facilities,Martin,Michal,Matrix,Service B,Closed,Low,High,Low,Low,2025-11-28T09:42:57.000000,2025-11-28T16:37:41.000000,2025-11-30T03:10:54.000000,1,Friday,0,6.912222222222222,34.55361111111111,41.465833333333336,1,2025-48
CR-34629,Data download from personal device flagged for review.,Failure,Peter,Captain America,Matrix,Service B,Closed,Medium,Low,High,High,2025-11-28T20:39:13.000000,2025-11-29T02:49:47.000000,2025-11-29T08:37:03.000000,1,Friday,0,6.176111111111111,5.7877777777777775,11.963888888888889,0,2025-48
CR-34630,Firewall breach: Unauthorized access through open port.,Facilities,Jan,Peter,Matrix,Service C,Closed,Medium,Medium,High,High,2025-11-28T02:31:30.000000,2025-11-28T06:11:18.000000,2025-11-28T09:07:57.000000,1,Friday,0,3.663333333333333,2.944166666666667,6.6075,0,2025-48
CR-34631,Malicious macro executed within Office file.,Software,Captain America,Peter,Avengers,Service A,Closed,Low,Medium,Low,Low,2025-11-28T03:25:40.000000,2025-11-28T07:48:25.000000,2025-11-28T21:49:15.000000,0,Friday,1,4.379166666666666,14.01388888888889,18.393055555555556,0,2025-48
CR-34632,Security patch applied: Monitoring for any issues.,Network,Jan,Iron Man,Avengers II,Service B,Closed,High,High,High,Low,2025-11-28T12:57:58.000000,2025-11-28T17:40:48.000000,2025-11-30T07:43:46.000000,1,Friday,0,4.713888888888889,38.04944444444445,42.763333333333335,1,2025-48
CR-34633,Ransomware attack detected: Encrypted files observed on endpoint.,Data,Michal,Thor,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-11-28T16:52:57.000000,2025-11-28T21:51:29.000000,2025-11-29T05:00:51.000000,1,Friday,0,4.975555555555555,7.1561111111111115,12.131666666666666,0,2025-48
CR-34634,Performance report: Sluggish response times on application.,Failure,Thor,Iron Man,Avengers II,Service C,Closed,Low,Low,Medium,High,2025-11-28T02:31:20.000000,2025-11-28T08:23:56.000000,2025-11-29T02:44:32.000000,1,Friday,0,5.876666666666667,18.343333333333334,24.22,0,2025-48
CR-34635,Access request denied: Policy mismatch.,Access,Jan,Captain America,Avengers II,Service B,Closed,Medium,Medium,Low,High,2025-11-28T07:00:07.000000,2025-11-28T13:25:32.000000,2025-11-30T07:28:33.000000,1,Friday,0,6.423611111111111,42.05027777777778,48.47388888888889,1,2025-48
CR-34636,System configuration error: Permissions incorrectly set.,Software,Jan,Martin,Matrix,Service A,On Hold,High,Low,High,High,2025-11-28T18:23:04.000000,,,1,Friday,0,,,,0,2025-48
CR-34637,Cloud misconfiguration alert: Public exposure of sensitive data.,Access,Michal,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Low,2025-11-28T09:32:24.000000,2025-11-28T16:08:15.000000,2025-11-30T12:19:20.000000,1,Friday,0,6.5975,44.18472222222222,50.782222222222224,1,2025-48
CR-34638,Memory exhaustion detected: Application terminated unexpectedly.,Failure,Peter,Iron Man,Matrix,Service C,Closed,High,Medium,Medium,High,2025-11-28T20:01:55.000000,2025-11-29T02:56:54.000000,2025-11-30T16:05:08.000000,0,Friday,1,6.916388888888889,37.13722222222222,44.05361111111111,1,2025-48
CR-34639,Unauthorized access attempt detected: IP flagged as suspicious.,Software,Martin,Iron Man,Avengers,Service C,Closed,Low,Low,High,High,2025-11-28T15:29:22.000000,2025-11-28T20:07:27.000000,2025-11-29T05:49:04.000000,0,Friday,1,4.634722222222222,9.69361111111111,14.328333333333333,0,2025-48
CR-34640,Ransomware execution blocked by endpoint protection.,Data,Peter,Thor,Avengers II,Service C,Closed,High,High,Low,Low,2025-11-28T00:22:56.000000,2025-11-28T03:55:40.000000,2025-11-29T00:16:18.000000,0,Friday,1,3.5455555555555556,20.343888888888888,23.889444444444443,1,2025-48
CR-34641,Cloud instance misconfiguration: Public access enabled.,Network,Peter,Michal,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-11-28T18:30:04.000000,2025-11-28T20:54:58.000000,2025-11-29T10:40:35.000000,1,Friday,0,2.415,13.760277777777778,16.17527777777778,0,2025-48
CR-34642,Performance report: Sluggish response times on application.,Hardware,Jan,Peter,Avengers,Service B,Closed,Medium,Low,High,High,2025-11-28T12:36:35.000000,2025-11-28T21:27:27.000000,2025-11-29T18:05:37.000000,1,Friday,0,8.847777777777777,20.636111111111113,29.483888888888888,0,2025-48
CR-34643,Internal network inaccessible: Ping requests time out.,Access,Martin,Michal,Matrix,Service A,Closed,Low,Medium,Low,Low,2025-11-28T14:19:45.000000,2025-11-28T17:12:59.000000,2025-11-29T23:33:44.000000,1,Friday,0,2.8872222222222224,30.345833333333335,33.23305555555555,1,2025-48
CR-34644,Access request denied: Policy mismatch.,Failure,Jan,Jan,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-11-28T10:07:26.000000,2025-11-28T15:13:41.000000,2025-11-28T22:46:55.000000,1,Friday,0,5.104166666666667,7.553888888888889,12.658055555555556,0,2025-48
CR-34645,Suspicious behavior: Multiple failed login attempts detected.,Hardware,Michal,Thor,Avengers II,Service A,Closed,Medium,Low,High,High,2025-11-28T20:26:28.000000,2025-11-28T22:35:42.000000,2025-11-29T05:36:48.000000,1,Friday,0,2.153888888888889,7.0183333333333335,9.172222222222222,0,2025-48
CR-34646,Suspicious behavior: Multiple failed login attempts detected.,Complaint,Peter,Peter,Avengers,Service C,Closed,Low,High,High,Low,2025-11-28T21:05:34.000000,2025-11-29T05:02:39.000000,2025-11-30T19:48:38.000000,0,Friday,1,7.951388888888889,38.76638888888889,46.717777777777776,1,2025-48
CR-34647,Authentication error: Multi-factor authentication failed.,Hardware,Iron Man,Jan,Avengers,Service A,Closed,Medium,Low,Medium,Medium,2025-11-28T12:07:05.000000,2025-11-28T16:40:02.000000,2025-11-29T05:42:31.000000,1,Friday,0,4.549166666666666,13.04138888888889,17.590555555555557,0,2025-48
CR-34648,Security patch applied: Monitoring for any issues.,Hardware,Michal,Jan,Avengers,Service C,Closed,Medium,Medium,High,Low,2025-11-28T08:58:14.000000,2025-11-28T13:40:45.000000,2025-11-29T14:41:46.000000,1,Friday,0,4.708611111111111,25.016944444444444,29.725555555555555,1,2025-48
CR-34649,Social engineering attempt flagged: Fake support request identified.,Network,Michal,Captain America,Avengers,Service B,Closed,Medium,Low,Medium,Medium,2025-11-28T00:03:35.000000,2025-11-28T03:09:59.000000,2025-11-29T05:29:13.000000,0,Friday,1,3.1066666666666665,26.320555555555554,29.427222222222223,0,2025-48
CR-34650,Network scanning tool triggered security alert.,Network,Martin,Jan,Matrix,Service A,Closed,Low,High,Medium,Low,2025-11-28T18:21:15.000000,2025-11-29T00:33:56.000000,2025-11-30T01:07:24.000000,0,Friday,1,6.211388888888889,24.557777777777776,30.769166666666667,1,2025-48
CR-34651,ARP spoofing detected: Network traffic rerouted.,Software,Michal,Martin,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-11-28T10:56:59.000000,2025-11-28T19:43:32.000000,2025-11-29T07:47:11.000000,1,Friday,0,8.775833333333333,12.060833333333333,20.836666666666666,0,2025-48
CR-34652,Suspicious API calls detected: Abnormal volume of requests identified.,Network,Thor,Peter,Avengers,Service A,Closed,Medium,High,Medium,High,2025-11-28T20:14:41.000000,2025-11-29T03:56:01.000000,2025-11-30T16:38:56.000000,1,Friday,0,7.688888888888889,36.71527777777778,44.40416666666667,1,2025-48
CR-34653,File integrity check failed: Data corruption suspected.,Network,Michal,Thor,Matrix,Service C,Closed,High,High,Low,Low,2025-11-28T13:22:44.000000,2025-11-28T17:40:13.000000,2025-11-29T03:25:00.000000,0,Friday,1,4.291388888888889,9.74638888888889,14.037777777777778,1,2025-48
CR-34654,Failed packet inspection: Firewall rules misconfigured.,Network,Jan,Martin,Avengers,Service C,Closed,Medium,Low,Medium,Low,2025-11-28T01:45:43.000000,2025-11-28T10:19:35.000000,2025-11-28T19:03:30.000000,1,Friday,0,8.564444444444444,8.731944444444444,17.296388888888888,0,2025-48
CR-34655,Expired password reset request: User notified.,Facilities,Iron Man,Thor,Avengers,Service A,Closed,Low,High,Low,High,2025-11-28T15:41:03.000000,2025-11-28T19:25:55.000000,2025-11-29T10:55:50.000000,1,Friday,0,3.747777777777778,15.498611111111112,19.246388888888887,1,2025-48
CR-34656,Failed cloud synchronization: Files cannot be uploaded.,Network,Iron Man,Iron Man,Matrix,Service B,Closed,Medium,Low,Low,Medium,2025-11-28T16:48:54.000000,2025-11-29T01:39:40.000000,2025-11-30T20:33:03.000000,0,Friday,1,8.846111111111112,42.889722222222225,51.73583333333333,0,2025-48
CR-34657,Data exfiltration alert: High outbound traffic flagged.,Network,Captain America,Jan,Avengers,Service C,Closed,High,High,High,Medium,2025-11-28T01:00:15.000000,2025-11-28T07:16:04.000000,2025-11-29T22:05:23.000000,1,Friday,0,6.2636111111111115,38.82194444444445,45.08555555555556,1,2025-48
CR-34658,Failed cloud synchronization: Files cannot be uploaded.,Facilities,Thor,Iron Man,Avengers,Service A,Closed,Low,Low,Medium,Low,2025-11-28T09:49:46.000000,2025-11-28T16:54:27.000000,2025-11-30T11:05:11.000000,1,Friday,0,7.078055555555555,42.17888888888889,49.25694444444444,0,2025-48
CR-34659,VPN connection failure: Unable to securely tunnel data.,Data,Iron Man,Jan,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-11-28T03:56:18.000000,2025-11-28T11:23:43.000000,2025-11-30T04:13:53.000000,0,Friday,1,7.456944444444445,40.83611111111111,48.293055555555554,1,2025-48
CR-34660,Cross-site scripting (XSS) detected on customer portal.,Facilities,Michal,Michal,Avengers II,Service A,Closed,Low,High,Medium,Medium,2025-11-28T19:34:19.000000,2025-11-29T01:25:58.000000,2025-11-30T18:02:08.000000,1,Friday,0,5.860833333333333,40.602777777777774,46.46361111111111,1,2025-48
CR-34661,DDoS attack detected: High traffic spotted on critical service.,Data,Captain America,Iron Man,Avengers II,Service C,New,Medium,Low,Medium,Medium,2025-11-28T14:30:23.000000,,,0,Friday,1,,,,0,2025-48
CR-34662,Data download from personal device flagged for review.,Software,Martin,Martin,Matrix,Service B,Closed,Low,Medium,Low,High,2025-11-28T07:01:00.000000,2025-11-28T11:20:28.000000,2025-11-29T07:26:07.000000,0,Friday,1,4.3244444444444445,20.094166666666666,24.41861111111111,0,2025-48
CR-34663,Service outage detected - No connection to database.,Failure,Michal,Iron Man,Avengers,Service A,Closed,High,Low,Low,High,2025-11-28T06:37:05.000000,2025-11-28T12:56:30.000000,2025-11-30T00:29:54.000000,0,Friday,1,6.323611111111111,35.556666666666665,41.88027777777778,0,2025-48
CR-34664,DDoS attack mitigation active: Rate-limiting initiated.,Software,Martin,Martin,Avengers II,Service A,Closed,Medium,High,Low,Low,2025-11-28T09:27:10.000000,2025-11-28T15:48:43.000000,2025-11-29T15:31:00.000000,1,Friday,0,6.359166666666667,23.704722222222223,30.06388888888889,1,2025-48
CR-34665,Expired password reset request: User notified.,Software,Thor,Jan,Avengers,Service B,Closed,Low,High,High,High,2025-11-28T06:38:59.000000,2025-11-28T15:00:13.000000,2025-11-30T10:17:44.000000,1,Friday,0,8.35388888888889,43.29194444444445,51.645833333333336,1,2025-48
CR-34666,Expired password reset request: User notified.,Facilities,Peter,Martin,Avengers,Service C,Closed,Low,Medium,Medium,High,2025-11-28T04:44:27.000000,2025-11-28T12:13:09.000000,2025-11-28T16:32:15.000000,0,Friday,1,7.4783333333333335,4.318333333333333,11.796666666666667,0,2025-48
CR-34667,Failed cloud synchronization: Files cannot be uploaded.,Network,Peter,Jan,Matrix,Service B,In Progress,Medium,High,Low,Medium,2025-11-28T14:33:40.000000,2025-11-28T17:48:55.000000,,0,Friday,1,3.254166666666667,,,0,2025-48
CR-34668,Unauthorized user session hijacked on browser.,Hardware,Michal,Martin,Matrix,Service B,In Progress,Medium,High,High,Medium,2025-11-28T01:31:59.000000,2025-11-28T06:59:42.000000,,0,Friday,1,5.461944444444445,,,0,2025-48
CR-34669,Security patch applied: Monitoring for any issues.,Data,Iron Man,Jan,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-11-28T05:57:25.000000,2025-11-28T10:51:14.000000,2025-11-29T05:11:41.000000,1,Friday,0,4.896944444444444,18.340833333333332,23.23777777777778,0,2025-48
CR-34670,Database schema corruption: Unable to read or query data tables.,Data,Iron Man,Michal,Avengers,Service A,Closed,Low,Medium,High,Medium,2025-11-28T02:41:51.000000,2025-11-28T11:09:50.000000,2025-11-29T16:51:37.000000,1,Friday,0,8.466388888888888,29.69638888888889,38.16277777777778,1,2025-48
CR-34671,Cloud instance misconfiguration: Public access enabled.,Complaint,Jan,Michal,Avengers II,Service B,Closed,High,Low,High,Medium,2025-11-28T21:24:58.000000,2025-11-29T05:50:23.000000,2025-11-29T17:59:16.000000,1,Friday,0,8.42361111111111,12.148055555555555,20.571666666666665,0,2025-48
CR-34672,Cloud misconfiguration alert: Public exposure of sensitive data.,Hardware,Michal,Peter,Matrix,Service B,Closed,Low,High,Low,Low,2025-11-28T13:10:09.000000,2025-11-28T15:16:17.000000,2025-11-29T02:08:50.000000,1,Friday,0,2.102222222222222,10.875833333333333,12.978055555555555,1,2025-48
CR-34673,User permission escalation detected on cloud platform.,Software,Iron Man,Jan,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-11-28T10:01:03.000000,2025-11-28T14:53:39.000000,2025-11-30T08:50:30.000000,1,Friday,0,4.876666666666667,41.9475,46.82416666666666,0,2025-48
CR-34674,Antivirus disabled on workstation: Protection compromised.,Facilities,Michal,Peter,Avengers,Service A,Closed,High,High,Medium,High,2025-11-28T07:16:40.000000,2025-11-28T11:57:36.000000,2025-11-28T20:54:15.000000,1,Friday,0,4.682222222222222,8.944166666666666,13.626388888888888,1,2025-48
CR-34675,DDoS attack detected: High traffic spotted on critical service.,Data,Peter,Martin,Avengers II,Service C,Closed,Medium,Low,High,Low,2025-11-28T09:06:38.000000,2025-11-28T14:16:37.000000,2025-11-29T12:53:42.000000,1,Friday,0,5.166388888888889,22.618055555555557,27.784444444444443,0,2025-48
CR-34676,Unencrypted sensitive file shared externally.,Software,Peter,Thor,Avengers,Service A,Closed,Low,High,Low,High,2025-11-28T10:24:42.000000,2025-11-28T17:41:08.000000,2025-11-28T23:56:43.000000,0,Friday,1,7.273888888888889,6.259722222222222,13.533611111111112,0,2025-48
CR-34677,Malicious macro executed within Office file.,Data,Martin,Martin,Avengers,Service B,Closed,Medium,High,Low,Medium,2025-11-28T20:11:16.000000,2025-11-29T01:27:12.000000,2025-11-29T12:45:30.000000,0,Friday,1,5.265555555555555,11.305,16.570555555555554,1,2025-48
CR-34678,Login attempt from blacklisted IP address blocked.,Facilities,Jan,Thor,Matrix,Service B,Closed,High,Low,Medium,Low,2025-11-28T02:57:24.000000,2025-11-28T11:02:46.000000,2025-11-28T23:28:08.000000,1,Friday,0,8.089444444444444,12.422777777777778,20.51222222222222,0,2025-48
CR-34679,Malware alert: Suspicious executable flagged during scan.,Data,Captain America,Thor,Avengers,Service A,Closed,High,Medium,High,Medium,2025-11-28T09:37:15.000000,2025-11-28T15:33:41.000000,2025-11-29T06:21:48.000000,0,Friday,1,5.940555555555555,14.801944444444445,20.7425,0,2025-48
CR-34680,Antivirus disabled on workstation: Protection compromised.,Facilities,Thor,Martin,Avengers II,Service B,Closed,Medium,Medium,High,Low,2025-11-28T13:03:47.000000,2025-11-28T19:17:56.000000,2025-11-30T04:08:01.000000,1,Friday,0,6.235833333333333,32.834722222222226,39.07055555555556,1,2025-48
CR-34681,Failed security training attempt recorded in training portal.,Data,Martin,Jan,Matrix,Service A,Closed,Medium,Medium,Low,Low,2025-11-28T14:12:25.000000,2025-11-28T22:53:47.000000,2025-11-29T12:25:27.000000,0,Friday,1,8.689444444444444,13.527777777777779,22.217222222222222,0,2025-48
CR-34682,Red team simulation detected: Penetration testing execution.,Failure,Peter,Peter,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-11-28T00:27:01.000000,2025-11-28T02:40:38.000000,2025-11-28T10:09:08.000000,1,Friday,0,2.2269444444444444,7.475,9.701944444444445,0,2025-48
CR-34683,Unscheduled software change: Application version rolled back.,Network,Martin,Jan,Avengers II,Service B,Closed,High,High,Low,High,2025-11-28T10:04:18.000000,2025-11-28T13:24:17.000000,2025-11-29T09:50:22.000000,0,Friday,1,3.3330555555555557,20.434722222222224,23.767777777777777,1,2025-48
CR-34684,System configuration error: Permissions incorrectly set.,Facilities,Iron Man,Jan,Avengers II,Service B,Closed,High,Low,Medium,Medium,2025-11-28T21:59:15.000000,2025-11-29T06:12:41.000000,2025-11-30T06:19:26.000000,1,Friday,0,8.223888888888888,24.1125,32.33638888888889,0,2025-48
CR-34685,Ransomware attack detected: Encrypted files observed on endpoint.,Facilities,Thor,Martin,Avengers,Service C,Closed,Low,Low,Low,High,2025-11-28T01:26:00.000000,2025-11-28T03:46:39.000000,2025-11-29T00:09:57.000000,1,Friday,0,2.3441666666666667,20.388333333333332,22.7325,0,2025-48
CR-34686,SOC analyst triggered investigation for suspicious server activity.,Failure,Michal,Michal,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-11-28T21:49:13.000000,2025-11-29T02:12:37.000000,2025-11-29T06:12:21.000000,0,Friday,1,4.39,3.9955555555555557,8.385555555555555,0,2025-48
CR-34687,Endpoint offline: Device not syncing with central server.,Facilities,Iron Man,Peter,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-11-28T17:28:26.000000,2025-11-29T00:42:29.000000,2025-11-29T07:54:10.000000,1,Friday,0,7.234166666666667,7.1947222222222225,14.428888888888888,0,2025-48
CR-34688,Login attempt from blacklisted IP address blocked.,Access,Jan,Captain America,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-11-28T04:08:57.000000,2025-11-28T09:24:35.000000,2025-11-28T20:06:15.000000,1,Friday,0,5.260555555555555,10.694444444444445,15.955,0,2025-48
CR-34689,Internal network inaccessible: Ping requests time out.,Data,Martin,Iron Man,Avengers,Service B,Closed,Medium,Medium,Low,High,2025-11-28T03:40:09.000000,2025-11-28T07:26:03.000000,2025-11-29T08:18:49.000000,1,Friday,0,3.765,24.879444444444445,28.644444444444446,1,2025-48
CR-34690,Suspicious login activity detected: High volume of logins from Device B.,Hardware,Captain America,Iron Man,Matrix,Service C,Closed,Medium,High,High,Low,2025-11-28T19:04:46.000000,2025-11-28T22:57:06.000000,2025-11-30T02:15:37.000000,0,Friday,1,3.8722222222222222,27.308611111111112,31.180833333333332,1,2025-48
CR-34691,Antivirus disabled on workstation: Protection compromised.,Facilities,Thor,Peter,Avengers,Service C,Closed,High,High,Medium,High,2025-11-29T23:35:59.000000,2025-11-30T05:24:17.000000,2025-12-01T10:28:10.000000,0,Saturday,1,5.805,29.064722222222223,34.86972222222222,1,2025-48
CR-34692,Unpatched vulnerability flagged: CVE report mismatch detected.,Failure,Martin,Captain America,Avengers,Service C,On Hold,Medium,Medium,High,Low,2025-11-29T22:22:33.000000,,,1,Saturday,0,,,,0,2025-48
CR-34693,Unauthorized device connected: MAC address not whitelisted.,Failure,Jan,Iron Man,Avengers,Service B,Closed,Low,Low,Low,High,2025-11-29T11:55:38.000000,2025-11-29T18:37:18.000000,2025-11-30T21:48:28.000000,0,Saturday,1,6.694444444444445,27.18611111111111,33.88055555555555,0,2025-48
CR-34694,Suspicious behavior: Multiple failed login attempts detected.,Facilities,Captain America,Jan,Avengers,Service A,Closed,High,Low,Low,Low,2025-11-29T17:50:20.000000,2025-11-29T20:17:00.000000,2025-11-30T12:18:09.000000,1,Saturday,0,2.4444444444444446,16.019166666666667,18.46361111111111,0,2025-48
CR-34695,Ransomware execution blocked by endpoint protection.,Complaint,Michal,Peter,Matrix,Service B,On Hold,Low,Low,High,Low,2025-11-29T03:08:03.000000,,,1,Saturday,0,,,,0,2025-48
CR-34696,Web application timeout: Performance degradation observed.,Facilities,Captain America,Michal,Matrix,Service B,Closed,Low,Medium,Medium,High,2025-11-29T05:39:02.000000,2025-11-29T14:17:58.000000,2025-12-01T09:53:39.000000,1,Saturday,0,8.648888888888889,43.594722222222224,52.243611111111115,1,2025-48
CR-34697,Unpatched vulnerability flagged: CVE report mismatch detected.,Data,Peter,Iron Man,Avengers,Service C,Closed,Medium,Medium,Medium,High,2025-11-29T11:09:16.000000,2025-11-29T13:09:52.000000,2025-11-30T11:59:30.000000,1,Saturday,0,2.01,22.827222222222222,24.837222222222223,0,2025-48
